Open,High,Low,Close,Volume,Year,Month,Day,5_SMA,5_EMA,20_SMA,20_EMA,50_SMA,50_EMA,200_SMA,200_EMA,Cross,MACD,Stochastic_Oscillator
11501.849609375,11522.009765625,11305.6904296875,11357.509765625,169750000,2000,1,3,11453.7720703125,11416.711078068956,11272.68896484375,11277.069591148274,10973.05552734375,11058.641876002352,10761.313134765625,10636.859919862496,211.74239257812405,132.94634624015998,0.6043357808473953
11349.75,11350.0595703125,10986.4501953125,10997.9296875,178420000,2000,1,4,11358.016015625,11277.117281212639,11261.3349609375,11250.484838419867,10983.60912109375,11056.261005865004,10766.850234375,10640.452653868839,216.75888671874964,94.63146077852616,0.0
10989.3701171875,11215.099609375,10938.669921875,11122.650390625,203190000,2000,1,5,11285.6140625,11225.628317683426,11262.1349609375,11238.31012910607,10999.06353515625,11058.86451114971,10774.1043359375,10645.250641299248,224.95919921875065,73.48348454615189,0.2498459419646263
11113.3701171875,11313.4501953125,11098.4501953125,11253.259765625,176550000,2000,1,6,11245.6939453125,11234.838800330617,11271.391943359375,11239.733904012634,11018.0861328125,11066.487854462466,10782.036435546876,10651.300483332341,236.04969726562376,66.49612015273851,0.5114883277807231
11247.0595703125,11528.1396484375,11239.919921875,11522.5595703125,184900000,2000,1,7,11250.7818359375,11330.745723657912,11290.780419921875,11266.669681755478,11040.63953125,11084.373019789919,10790.46728515625,10659.96972797891,250.1722460937508,81.7465043192642,1.0
11532.48046875,11638.2802734375,11532.48046875,11572.2001953125,168180000,2000,1,10,11293.719921875,11411.230547542775,11308.155419921875,11295.767825903768,11059.6329296875,11103.503497261392,10799.217084960937,10669.046648051883,260.4158447265618,96.72316280507039,1.0
11568.4697265625,11663.099609375,11502.7001953125,11511.080078125,177300000,2000,1,11,11396.35,11444.513724403516,11324.079931640625,11316.273754686741,11075.25732421875,11119.486892589377,10806.738583984376,10677.425090142164,268.5187402343745,102.47907491654041,0.8935691170693798
11506.73046875,11612.5302734375,11505.1796875,11551.099609375,194060000,2000,1,12,11482.03984375,11480.042352727343,11343.626416015624,11338.63812179991,11093.30912109375,11136.412881482931,10814.927783203126,10686.1183689405,278.3813378906234,109.01328120140715,0.9632567132554378
11558.240234375,11656.580078125,11524.1103515625,11582.4296875,174910000,2000,1,13,11547.873828125,11514.17146431823,11361.481884765624,11361.856366152299,11113.32091796875,11153.903736620856,10823.909130859374,10695.036889523182,289.4117871093749,115.389622486402,1.0
11619.349609375,11750.2802734375,11612.5302734375,11722.98046875,266830000,2000,1,14,11587.9580078125,11583.774465795486,11385.38642578125,11396.24913782827,11135.5993359375,11176.220471214156,10833.361484375,10705.265183843847,302.2378515625005,130.28237815143802,1.0
